year,percent
1998,-6.876427092734247
1999,1.1016166396211133
2000,7.586207697789945
2001,4.802190828437645
2002,3.187366137234136
2003,6.003131196144835
2004,8.951909319897382
2005,13.05657714713277
2006,10.821420220065292
2007,8.891598548197905
2008,9.416609242026496
2009,-11.43094669575025
2010,5.44802842057328
2011,5.388016721508393
2012,1.6177705924285135
2013,-1.8914501913294686
2014,-1.477990696518134
2015,-9.236061749869734
2016,-1.3008480752337448
2017,5.110326578946143
2018,3.3763474954121193
2019,0.02995044950682768
2020,-8.758750472476393
